Time,Flight,X (nm),Y (nm),LEV (ft)
10/6/2005 0:08,IAVSS,105.0625,-46.421875,5000
10/6/2005 0:08,IAVSS,104.84375,-46.53125,4900
10/6/2005 0:08,IAVSS,104.640625,-46.65625,4800
10/6/2005 0:08,IAVSS,104.4375,-46.796875,4700
10/6/2005 0:08,IAVSS,104.21875,-46.921875,4500
10/6/2005 0:08,IAVSS,104.015625,-47.046875,4400
10/6/2005 0:08,IAVSS,103.796875,-47.1875,4200
10/6/2005 0:08,IAVSS,103.578125,-47.3125,4000
10/6/2005 0:08,IAVSS,103.359375,-47.4375,3900
10/6/2005 0:08,IAVSS,103.140625,-47.578125,3800
10/6/2005 0:09,IAVSS,102.921875,-47.71875,3700
10/6/2005 0:09,IAVSS,102.6875,-47.859375,3600
10/6/2005 0:09,IAVSS,102.46875,-47.984375,3500
10/6/2005 0:09,IAVSS,102.046875,-48.265625,3400
10/6/2005 0:09,IAVSS,101.828125,-48.40625,3300
10/6/2005 0:09,IAVSS,101.625,-48.546875,3200
10/6/2005 0:09,IAVSS,101.421875,-48.671875,3100
10/6/2005 0:09,IAVSS,101.21875,-48.8125,3000
10/6/2005 0:09,IAVSS,101.015625,-48.9375,2900
10/6/2005 0:09,IAVSS,100.59375,-49.1875,2800
10/6/2005 0:09,IAVSS,100.390625,-49.3125,2700
10/6/2005 0:09,IAVSS,100.1875,-49.421875,2600
10/6/2005 0:09,IAVSS,99.984375,-49.546875,2600
10/6/2005 0:09,IAVSS,99.78125,-49.671875,2500
10/6/2005 0:10,IAVSS,99.578125,-49.765625,2500
10/6/2005 0:10,IAVSS,99.390625,-49.890625,2400
10/6/2005 0:10,IAVSS,99.1875,-50,2300
10/6/2005 0:10,IAVSS,99,-50.109375,2300
10/6/2005 0:10,IAVSS,98.8125,-50.21875,2200
10/6/2005 0:10,IAVSS,98.625,-50.34375,2200
10/6/2005 0:10,IAVSS,98.46875,-50.453125,2200
10/6/2005 0:10,IAVSS,98.3125,-50.578125,2200
10/6/2005 0:10,IAVSS,98.15625,-50.6875,2200
10/6/2005 0:10,IAVSS,98.015625,-50.796875,2100
10/6/2005 0:10,IAVSS,97.875,-50.90625,2000
10/6/2005 0:10,IAVSS,97.734375,-51.015625,1800
10/6/2005 0:10,IAVSS,97.578125,-51.125,1700
